Word,Substitute,Frequency,Length
ನಿನ್ನಣ್ಣನಿಗೆ,ನಿನ್ನಣ್ಣನಿಗೆ,1,12
ನಿಲ್ಲಿಸಲಿಲ್ಲ,ನಿಲ್ಲಿಸಲಿಲ್ಲ,1,12
ನೋಡಿದವರೆಲ್ಲಾ,ನೋಡಿದವರೆಲ್ಲಾ,1,12
ವಿರಾಟನಗರಕ್ಕೆ,ವಿರಾಟನಗರಕ್ಕೆ,1,12
ಉತ್ತರಕುಮಾರನು,ಉತ್ತರಕುಮಾರನು,1,12
ಸ್ಫೂರ್ತಿಯಾಗೆ,ಸ್ಫೂರ್ತಿಯಾಗೆ,1,12
ಚಲಿಸತೊಡಗಿದರು,ಚಲಿಸತೊಡಗಿದರು,1,12
ಹಾಗಾಗುತ್ತಿದೆ,ಹಾಗಾಗುತ್ತಿದೆ,1,12
ಪಾದಚಾರಿಗಳಿಗೆ,ಪಾದಚಾರಿಗಳಿಗೆ,1,12
ಸಿದ್ಧರಾಗಬೇಕು,ಸಿದ್ಧರಾಗಬೇಕು,1,12
ವಾರ್ಷಿಕೋತ್ಸವ,ವಾರ್ಷಿಕೋತ್ಸವ,3,12
ಹಿಂತಿರುಗಿದಳು,ಹಿಂತಿರುಗಿದಳು,1,12
ಕಾಯ್ದುಕಾಯ್ದು,ಕಾಯ್ದುಕಾಯ್ದು,1,12
ಕೊಡುವುದಾಗಿಯೂ,ಕೊಡುವುದಾಗಿಯೂ,1,12
ಮನಸ್ಸಿರಲಿಲ್ಲ,ಮನಸ್ಸಿರಲಿಲ್ಲ,2,12
ಯಾವುದಾದರೊಂದು,ಯಾವುದಾದರೊಂದು,2,12
ವಾತಾವರಣದಲ್ಲಿ,ವಾತಾವರಣದಲ್ಲಿ,7,12
ತಾಯ್ನಾಡಿನಿಂದ,ತಾಯ್ನಾಡಿನಿಂದ,1,12
ಕಳೆದುಕೊಂಡಿತು,ಕಳೆದುಕೊಂಡಿತು,2,12
ಸಮೀಪದಲ್ಲಿದ್ದ,ಸಮೀಪದಲ್ಲಿದ್ದ,2,12
ಆಪತ್ಕಾಲದಲ್ಲಿ,ಆಪತ್ಕಾಲದಲ್ಲಿ,1,12
ನೀಲಾಂಬರವನ್ನು,ನೀಲಾಂಬರವನ್ನು,1,12
ಬೊಡ್ಡೆಯವರೆಗೆ,ಬೊಡ್ಡೆಯವರೆಗೆ,1,12
ಕಾಡಿನಲ್ಲಿದ್ದ,ಕಾಡಿನಲ್ಲಿದ್ದ,1,12
ಉಬ್ಬಿಸಿಕೊಂಡು,ಉಬ್ಬಿಸಿಕೊಂಡು,2,12
ಮುಗಿದೇಹೋಯ್ತು,ಮುಗಿದೇಹೋಯ್ತು,1,12
ಮುಚ್ಚಿಬಿಟ್ಟು,ಮುಚ್ಚಿಬಿಟ್ಟು,1,12
ಕಿರುಚುವಿಕೆಯೂ,ಕಿರುಚುವಿಕೆಯೂ,1,12
ಜಾಸ್ತಿಯಾಯ್ತು,ಜಾಸ್ತಿಯಾಯ್ತು,1,12
ಆಹ್ವಾನಿಸಿದನು,ಆಹ್ವಾನಿಸಿದನು,1,12
ಕಾಣಿಸ್ತಿಲ್ವೇ,ಕಾಣಿಸ್ತಿಲ್ವೇ,1,12
ಸಂಪ್ರದಾಯದಂತೆ,ಸಂಪ್ರದಾಯದಂತೆ,1,12
ಕಣ್ಣಾಡಿಸಿದರು,ಕಣ್ಣಾಡಿಸಿದರು,2,12
ಮನಸ್ಸುಗಳನ್ನು,ಮನಸ್ಸುಗಳನ್ನು,2,12
ಉಪಾಧ್ಯಾಯರಿಗೆ,ಉಪಾಧ್ಯಾಯರಿಗೆ,1,12
ಅನುಸರಿಸಬೇಕಾದ,ಅನುಸರಿಸಬೇಕಾದ,2,12
ಸೇವಿಪೆನಲ್ಲವೆ,ಸೇವಿಪೆನಲ್ಲವೆ,1,12
ಅರೆಗಣ್ಣಾಗಿರೆ,ಅರೆಗಣ್ಣಾಗಿರೆ,1,12
ಆಕರ್ಷಕವಾಗಿದೆ,ಆಕರ್ಷಕವಾಗಿದೆ,1,12
ರಾಷ್ಟ್ರಧ್ವಜದ,ರಾಷ್ಟ್ರಧ್ವಜದ,1,12
ಎಚ್ಚರವಾದದ್ದೂ,ಎಚ್ಚರವಾದದ್ದೂ,1,12
ದಾರಿದೀಪಗಳಾಗಿ,ದಾರಿದೀಪಗಳಾಗಿ,1,12
ಮಕ್ಕಳನ್ನೆಲ್ಲ,ಮಕ್ಕಳನ್ನೆಲ್ಲ,1,12
ಹರಿಯುವುದಿಲ್ಲ,ಹರಿಯುವುದಿಲ್ಲ,1,12
ಸಮಾಧಾನವಾಯಿತು,ಸಮಾಧಾನವಾಯಿತು,8,12
ಪುಸ್ತಕಗಳನ್ನು,ಪುಸ್ತಕಗಳನ್ನು,14,12
ರಾಜ್ಯಸಾಲರಾಗಿ,ರಾಜ್ಯಸಾಲರಾಗಿ,1,12
ಎದ್ಯಾರ್ಥಿಗಳೂ,ಎದ್ಯಾರ್ಥಿಗಳೂ,1,12
ಎದ್ಯಾರ್ಥಿಗಳು,ಎದ್ಯಾರ್ಥಿಗಳು,1,12
ಬುದ್ಧಿಕಲಿಸಲು,ಬುದ್ಧಿಕಲಿಸಲು,1,12
ಬೂಟ್‌ಪಾಲಿಶ್‌,ಬೂಟ್‌ಪಾಲಿಶ್‌,1,12
ವಿದ್ಯಾರ್ಥಿಗಳ,ವಿದ್ಯಾರ್ಥಿಗಳ,12,12
ಮೂಡಿಸಿಕೊಳ್ಳಿ,ಮೂಡಿಸಿಕೊಳ್ಳಿ,1,12
ಆದೇಶವಾಗಿತ್ತು,ಆದೇಶವಾಗಿತ್ತು,1,12
ದೊಹ್ಮಹನಸೋಂದೆ,ದೊಹ್ಮಹನಸೋಂದೆ,1,12
ಐರೆಯುವುದರಲ್ಲ,ಐರೆಯುವುದರಲ್ಲ,1,12
ವಿಶ್ವವಿಖ್ಯಾತ,ವಿಶ್ವವಿಖ್ಯಾತ,2,12
ಪಠ್ಯಭಾದವನ್ನು,ಪಠ್ಯಭಾದವನ್ನು,1,12
ಮನಸ್ಸಿನಭಾವನೆ,ಮನಸ್ಸಿನಭಾವನೆ,1,12
ತಪ್ಪಮಾಡಿದವನು,ತಪ್ಪಮಾಡಿದವನು,1,12
ಸಂದರ್ಭಗಳಲ್ಲಿ,ಸಂದರ್ಭಗಳಲ್ಲಿ,12,12
ಉದ್ಗರಿಸುತ್ತಾ,ಉದ್ಗರಿಸುತ್ತಾ,1,12
ಒಡ್ಡೋಲಗವನ್ನು,ಒಡ್ಡೋಲಗವನ್ನು,2,12
ತೀರಿಕೊಂಡರಂತೆ,ತೀರಿಕೊಂಡರಂತೆ,1,12
ನೆತ್ತಿಗೇರಿತು,ನೆತ್ತಿಗೇರಿತು,2,12
ಅಳುತ್ತಿದ್ದಳು,ಅಳುತ್ತಿದ್ದಳು,2,12
ಮಿಡಿಯುತ್ತಿದೆ,ಮಿಡಿಯುತ್ತಿದೆ,1,12
ಮುಚ್ಚೊಂಬಿಟ್ಟ,ಮುಚ್ಚೊಂಬಿಟ್ಟ,1,12
ಹಿಗ್ಗಾಮುಗ್ಗಾ,ಹಿಗ್ಗಾಮುಗ್ಗಾ,1,12
ಪಕ್ಕೆಲುಬುಗಳು,ಪಕ್ಕೆಲುಬುಗಳು,1,12
ಹೇಳುವುದರಲ್ಲಿ,ಹೇಳುವುದರಲ್ಲಿ,2,12
ಗುರುಕುಲದಲ್ಲಿ,ಗುರುಕುಲದಲ್ಲಿ,2,12
ಮಿತ್ರನಾಗಿದ್ದ,ಮಿತ್ರನಾಗಿದ್ದ,1,12
ಅವಲಕ್ಕಿಯಲ್ಲಿ,ಅವಲಕ್ಕಿಯಲ್ಲಿ,1,12
ಅರಮನೆಯೊಳಕ್ಕೆ,ಅರಮನೆಯೊಳಕ್ಕೆ,1,12
ಹೊರಡದಂತಾಗಿದೆ,ಹೊರಡದಂತಾಗಿದೆ,1,12
ಹೋಗಬೇಕಿದ್ದರೆ,ಹೋಗಬೇಕಿದ್ದರೆ,1,12
ಅವಲಕ್ಕಿಯನ್ನು,ಅವಲಕ್ಕಿಯನ್ನು,3,12
ವಿಶ್ವಾಸವಿರುವ,ವಿಶ್ವಾಸವಿರುವ,1,12
ಮರೆಯುವಂತಿಲ್ವ,ಮರೆಯುವಂತಿಲ್ವ,2,12
ಗೊತ್ತಿದೆಯಲ್ಲ,ಗೊತ್ತಿದೆಯಲ್ಲ,3,12
ಮನಸ್ಸಾಗಲಿಲ್ಲ,ಮನಸ್ಸಾಗಲಿಲ್ಲ,1,12
ಕೊಟ್ಟಿದ್ದಾರೆ,ಕೊಟ್ಟಿದ್ದಾರೆ,4,12
ದುರುಪಿದ್ಧವ್ಹ,ದುರುಪಿದ್ಧವ್ಹ,1,12
ಮಾಡಿದ್ದುಣ್ಣೊ,ಮಾಡಿದ್ದುಣ್ಣೊ,1,12
ಶಿರಹಟ್ಟಮಠರವರ,ಶಿರಹಟ್ಟಮಠರವರ,1,12
ಹಿನ್ನೆಲೆಯಿಂದ,ಹಿನ್ನೆಲೆಯಿಂದ,1,12
ನಕ್ಷತ್ರಗಳಂತೆ,ನಕ್ಷತ್ರಗಳಂತೆ,1,12
ಪಾತ್ರರಾಗಿರುವ,ಪಾತ್ರರಾಗಿರುವ,1,12
ಲಕ್ಷ್ಮಮ್ಮನವರ,ಲಕ್ಷ್ಮಮ್ಮನವರ,1,12
ಸಿಂಗಾನಲ್ಲೂರು,ಸಿಂಗಾನಲ್ಲೂರು,1,12
ಸುರಿಯತೊಡಗಿತು,ಸುರಿಯತೊಡಗಿತು,2,12
ಸಂಭ್ರಮಿಸಿದರು,ಸಂಭ್ರಮಿಸಿದರು,2,12
ಮುತ್ತತ್ತಿರಾಯ,ಮುತ್ತತ್ತಿರಾಯ,1,12
ವಾತ್ಸಲ್ಯಧಾರೆ,ವಾತ್ಸಲ್ಯಧಾರೆ,1,12
ಹಸನಾಗಿಸಿಕೊಂಡ,ಹಸನಾಗಿಸಿಕೊಂಡ,1,12
ಬಾಲ್ಯದಲ್ಲಿಯೇ,ಬಾಲ್ಯದಲ್ಲಿಯೇ,1,12
ಗನಟರೆನಿಸಿದ್ದ,ಗನಟರೆನಿಸಿದ್ದ,1,12
ಅಪ್ಪಾಜಿಗೌಡರು,ಅಪ್ಪಾಜಿ ಗೌಡರು,1,12
ಸಣ್ಣೇಗೌಡರಿಂದ,ಸಣ್ಣೇಗೌಡರಿಂದ,1,12
ಭಕ್ತಪ್ರಹ್ಲಾದ,ಭಕ್ತಪ್ರಹ್ಲಾದ,1,12
ಕಾಣಿಸಿಕೊಂಡರೂ,ಕಾಣಿಸಿಕೊಂಡರೂ,1,12
ಮುತ್ತುರಾಜಎಂಬ,ಮುತ್ತುರಾಜಎಂಬ,1,12
ಮನಸೂರೆಗೊಂಡವು,ಮನಸೂರೆಗೊಂಡವು,1,12
ಭಸ್ಮಾಸುರನಾಗಿ,ಭಸ್ಮಾಸುರನಾಗಿ,1,12
ಮಯೂರವರ್ಮನಾಗಿ,ಮಯೂರವರ್ಮನಾಗಿ,1,12
ಚಿತ್ರಗಳಲ್ಲಿನ,ಚಿತ್ರಗಳಲ್ಲಿನ,1,12
ನಟಪ್ರಶಸ್ತಿಯೂ,ನಟಪ್ರಶಸ್ತಿಯೂ,1,12
ನಟರಾಗಿರುವಂತೆ,ನಟರಾಗಿರುವಂತೆ,1,12
ಮುಡಿಗೇರಿಸಿಕೊ,ಮುಡಿಗೇರಿಸಿಕೊ,1,12
ಮರೆಯುವಂತಿಲ್ಲ,ಮರೆಯುವಂತಿಲ್ಲ,3,12
ಮುಂಚೂಣಿಯಲ್ಲಿ,ಮುಂಚೂಣಿಯಲ್ಲಿ,1,12
ಸಲ್ಲಿಸಿದ್ದರಿ,ಸಲ್ಲಿಸಿದ್ದರಿ,1,12
ನೀಡಿದಂದಿನಿಂದ,ನೀಡಿದಂದಿನಿಂದ,1,12
ಬಿರುದುಗಳನ್ನು,ಬಿರುದುಗಳನ್ನು,1,12
ರಾಜ್‌ಕುಮಾರ್‌,ರಾಜ್‌ಕುಮಾರ್‌,1,12
ಚಲನಚಿತ್ರಕ್ಕೆ,ಚಲನಚಿತ್ರಕ್ಕೆ,1,12
ರಸಸಂಜೆಗಳನ್ನು,ರಸಸಂಜೆಗಳನ್ನು,1,12
ಕ್ಷೇತ್ರಗಳಿಗೆ,ಕ್ಷೇತ್ರಗಳಿಗೆ,3,12
ತಂತ್ರಜ್ಞರಿಗೆ,ತಂತ್ರಜ್ಞರಿಗೆ,1,12
ಅಗತ್ಯಬಿದ್ದಾಗ,ಅಗತ್ಯಬಿದ್ದಾಗ,1,12
ಸಂತ್ರಸ್ತರಿಗೆ,ಸಂತ್ರಸ್ತರಿಗೆ,1,12
ಪ್ರಶ್ನೆಗಳಿಗೆ,ಪ್ರಶ್ನೆಗಳಿಗೆ,22,12
ಉತ್ತರಿಸುವುದು,ಉತ್ತರಿಸುವುದು,3,12
ಸಲ್ಲಪಿದ್ದಾರೆ,ಸಲ್ಲಪಿದ್ದಾರೆ,1,12
ದದ್ಯಭಾದವನ್ನು,ದದ್ಯಭಾದವನ್ನು,1,12
ಬೇರ್ಪಡಿಸಲಾಗದ,ಬೇರ್ಪಡಿಸಲಾಗದ,1,12
ಸ್ವೀಕರಿಸಬೇಕು,ಸ್ವೀಕರಿಸಬೇಕು,1,12
ದೊರೆಯಬೇಕಾದರೆ,ದೊರೆಯಬೇಕಾದರೆ,1,12
ಕೊಕ್ಕರೆಯೊಂದು,ಕೊಕ್ಕರೆಯೊಂದು,2,12
ಮರೆತುಬಿಟ್ಟನು,ಮರೆತುಬಿಟ್ಟನು,1,12
ತಿನ್ಕೋತ್ತೇನೆ,ತಿನ್ಕೋತ್ತೇನೆ,1,12
ನೂರಾರುವರಹಗಳು,ನೂರಾರುವರಹಗಳು,1,12
ಪೀತಾಂಬರವನ್ನು,ಪೀತಾಂಬರವನ್ನು,1,12
ನೇಯುತ್ತಿತ್ತು,ನೇಯುತ್ತಿತ್ತು,1,12
ಸಂಶಯವಿರಲಿಲ್ಲ,ಸಂಶಯವಿರಲಿಲ್ಲ,1,12
ವೆಂಕಟಲಕ್ಷ್ಮಿ,ವೆಂಕಟಲಕ್ಷ್ಮಿ,1,12
ಎಲ್ಲರೊಟ್ಟಿಗೆ,ಎಲ್ಲರೊಟ್ಟಿಗೆ,1,12
ನಿರ್ವಹಿಸಬೇಕು,ನಿರ್ವಹಿಸಬೇಕು,1,12
ಶಾಲೆಯ್ನಅಂಗಳದ,ಶಾಲೆಅಂಗಳದ,1,12
ಸ್ವಾಗತಿಸಿದರು,ಸ್ವಾಗತಿಸಿದರು,2,12
ಹಿರಿಯರೊಬ್ಬರು,ಹಿರಿಯರೊಬ್ಬರು,4,12
ಕ್ರೀಡಾಮಂತ್ರಿ,ಕ್ರೀಡಾಮಂತ್ರಿ,1,12
ತೊಡಿಸುತ್ತೇವೆ,ತೊಡಿಸುತ್ತೇವೆ,1,12
ಹಿಡಿಯುತ್ತೇವೆ,ಹಿಡಿಯುತ್ತೇವೆ,2,12
ವಾದ್ಯದವರದ್ದು,ವಾದ್ಯದವರದ್ದು,1,12
ಇತ್ಯಾದಿಗಳಿಗೆ,ಇತ್ಯಾದಿಗಳಿಗೆ,1,12
ತುತ್ತೂರಿಯವರು,ತುತ್ತೂರಿಯವರು,1,12
ಮುಗುಳ್ನಗುತ್ತ,ಮುಗುಳ್ನಗುತ್ತ,4,12
ಸಿದ್ಧತೆಗಳಿಗೆ,ಸಿದ್ಧತೆಗಳಿಗೆ,1,12
ಸಂಬಂಧಿಸಿದಂತೆ,ಸಂಬಂಧಿಸಿದಂತೆ,4,12
ಭುವನೇಶ್ವರಿಗೆ,ಭುವನೇಶ್ವರಿಗೆ,1,12
ಪ್ಯೂಟರಿನಲ್ಲಿ,ಪ್ಯೂಟರಿನಲ್ಲಿ,1,12
ಇಲೆಕ್ಟಾನಿಕ್‌,ಇಲೆಕ್ಟಾನಿಕ್‌,1,12
ಎಲೆಕ್ಟಾನಿಕ್‌,ಎಲೆಕ್ಟಾನಿಕ್‌,1,12
ವ್ಯವಸ್ಥೆಯಂತೆ,ವ್ಯವಸ್ಥೆಯಂತೆ,1,12
ರಚಿಸುವುದನ್ನು,ರಚಿಸುವುದನ್ನು,1,12
ಇನ್ನೊಬ್ಬರಿಗೆ,ಇನ್ನೊಬ್ಬರಿಗೆ,1,12
ತೋರಿಸುತ್ತೇವೆ,ತೋರಿಸುತ್ತೇವೆ,1,12
ಪ್ರಯಾಣಿಸಬೇಕು,ಪ್ರಯಾಣಿಸಬೇಕು,1,12
ಎದುರಾಗುತ್ತದೆ,ಎದುರಾಗುತ್ತದೆ,1,12
ಭಸ್ಮಾಸುರನೆಂಬ,ಭಸ್ಮಾಸುರನೆಂಬ,1,12
ಅನುಭವಿಸುವುದೇ,ಅನುಭವಿಸುವುದೇ,1,12
ಕುಳಿತಿದ್ದಾರೆ,ಕುಳಿತಿದ್ದಾರೆ,4,12
ಕಾರಣವೇನೆಂದರೆ,ಕಾರಣವೇನೆಂದರೆ,2,12
ಪ್ರದೇಶಗಳೆಲ್ಲ,ಪ್ರದೇಶಗಳೆಲ್ಲ,1,12
ಪತ್ರಿಕೆಯನ್ನು,ಪತ್ರಿಕೆಯನ್ನು,10,12
ರಾಘವೇಂದ್ರರಾಯ,ರಾಘವೇಂದ್ರರಾಯ,1,12
ಮಾಡುತ್ತಿತ್ತು,ಮಾಡುತ್ತಿತ್ತು,8,12
ದಿವಾನರಾಗಿದ್ದ,ದಿವಾನರಾಗಿದ್ದ,3,12
ಕನ್ನಡಕ್ಕೊಂದು,ಕನ್ನಡಕ್ಕೊಂದು,1,12
ಕಲ್ಪಿಸುವಲ್ಲಿ,ಕಲ್ಪಿಸುವಲ್ಲಿ,1,12
ಧಬಾಹುವಿನಲ್ಲಿ,ಧಬಾಹುವಿನಲ್ಲಿ,1,12
ಆಯೋಜಿಸಲಾಯಿತು,ಆಯೋಜಿಸಲಾಯಿತು,1,12
ಕನ್ನಡಿಗರನ್ನು,ಕನ್ನಡಿಗರನ್ನು,2,12
ಪ್ರಸ್ತಾಪಿತಗೊ,ಪ್ರಸ್ತಾಪಿತಗೊ,1,12
ವ್ಯಕ್ತವಾಯಿತು,ವ್ಯಕ್ತವಾಯಿತು,1,12
ಪಡೆದುಕೊಂಡಿತು,ಪಡೆದುಕೊಂಡಿತು,1,12
ಲಕ್ಷ್ಮಣರಾವ್‌,ಲಕ್ಷ್ಮಣರಾವ್‌,1,12
ಬಿಸಿಯನೂಡುವನು,ಬಿಸಿಯನೂಡುವನು,1,12
ಗೋವಿಂದರೆಡ್ಡಿ,ಗೋವಿಂದರೆಡ್ಡಿ,1,12
ಹಾರುವುದೆಂದರೆ,ಹಾರುವುದೆಂದರೆ,1,12
ಕಾಾಾಾಾನಸ್ಥ್ಥ,Delete,1,12
ಢವಢವಗುಟ್ಟಿತು,ಢವಢವಗುಟ್ಟಿತು,1,12
ಸಾಮಾನ್ಯನಲ್ಲೋ,ಸಾಮಾನ್ಯನಲ್ಲೋ,1,12
ಥಟ್ಟನವತರಿಸಿದ,ಥಟ್ಟನವತರಿಸಿದ,1,12
ಸರಿಗಾತ್ರವಾಗಿ,ಸರಿಗಾತ್ರವಾಗಿ,1,12
ಕಲ್ಲಂಗಡಿಯಾಗಿ,ಕಲ್ಲಂಗಡಿಯಾಗಿ,1,12
ದಳದಳಕೊಯ್ಬ್ದು,ದಳದಳಕೊಯ್ಬ್ದು,1,12
ದಾಳಿಂಬೆಯೊಳಗೆ,ದಾಳಿಂಬೆಯೊಳಗೆ,1,12
ಗುಬ್ಬಚ್ಚಿಯನು,ಗುಬ್ಬಚ್ಚಿಯನು,1,12
ಹುಡುಕುತಿತ್ತು,ಹುಡುಕುತಿತ್ತು,1,12
ಪಾರಾಗುತಿತ್ತು,ಪಾರಾಗುತಿತ್ತು,1,12
ಬೆರಗುಗೊಳಿಸುವ,ಬೆರಗುಗೊಳಿಸುವ,1,12
ಸಂಗ್ರಹಿಸುತ್ತ,ಸಂಗ್ರಹಿಸುತ್ತ,2,12
ಹೂಡಬೇಕೆಂಬಾಸೆ,ಹೂಡಬೇಕೆಂಬಾಸೆ,1,12
ಶೋಧನೆಗೈದಡೇನು,ಶೋಧನೆಗೈದಡೇನು,1,12
ಸಾಧನೆಗೈದಡೇನು,ಸಾಧನೆಗೈದಡೇನು,1,12
ಹೆಜ್ಜಿಯನಿಟ್ಟ,ಹೆಜ್ಜಿಯನಿಟ್ಟ,1,12
ಆಕಾಶದೆತ್ತರಕೆ,ಆಕಾಶದೆತ್ತರಕೆ,1,12
ದುರ್ಮತಿಯರಿಂದ,ದುರ್ಮತಿಯರಿಂದ,1,12
ಸಾಹಿತ್ಯವನ್ನು,ಸಾಹಿತ್ಯವನ್ನು,2,12
ವಹಿಸಿಕೊಂಡಿದೆ,ವಹಿಸಿಕೊಂಡಿದೆ,1,12
ಬಾಲ್ಯದಲ್ಲಿಯೆ,ಬಾಲ್ಯದಲ್ಲಿಯೆ,1,12
ಪ್ರಭಾವವಾಯಿತು,ಪ್ರಭಾವವಾಯಿತು,1,12
ದ್ರಲಾಲ್‌ರಾಯರ,ದ್ರಲಾಲ್‌ರಾಯರ,1,12
ಪ್ರದರ್ಶಿತವಾದ,ಪ್ರದರ್ಶಿತವಾದ,1,12
ಉಪ್ಪಿಟ್ಟನ್ನು,ಉಪ್ಪಿಟ್ಟನ್ನು,1,12
ಕೇಸರಿಬಾತನ್ನು,ಕೇಸರಿಬಾತನ್ನು,1,12
ತುಂಬಿಕೊಂಡಿತು,ತುಂಬಿಕೊಂಡಿತು,3,12
ಪುಟ್ಟಲಕ್ಷ್ಮಿ,ಪುಟ್ಟಲಕ್ಷ್ಮಿ,8,12
ಡಬ್ಬಿಗಳಲ್ಲಿನ,ಡಬ್ಬಿಗಳಲ್ಲಿನ,2,12
ಕ್ಲಾಸ್‌ಗಳಿಗೆ,ಕ್ಲಾಸ್‌ಗಳಿಗೆ,1,12
ಕಾವಲುಗಾರನಿಗೆ,ಕಾವಲುಗಾರನಿಗೆ,1,12
ಕಾವಲುಗಾರನಿಂದ,ಕಾವಲುಗಾರನಿಂದ,1,12
ಅರ್ಥವಾಗಲಿಲ್ಲ,ಅರ್ಥವಾಗಲಿಲ್ಲ,4,12
ನಿರ್ಧರಿಸಿದಳು,ನಿರ್ಧರಿಸಿದಳು,9,12
ಯಾರೆನ್ನುವುದು,ಯಾರೆನ್ನುವುದು,1,12
ಪುಟ್ಟಲಕ್ಷಿಗೆ,ಪುಟ್ಟಲಕ್ಷಿಗೆ,1,12
ಅತ್ತಿದ್ದನ್ನು,ಅತ್ತಿದ್ದನ್ನು,1,12
ಬಳಸಲಾಗುತ್ತದೆ,ಬಳಸಲಾಗುತ್ತದೆ,4,12
ಮಾಡದಿದ್ದಲ್ಲಿ,ಮಾಡದಿದ್ದಲ್ಲಿ,1,12
ಸ್ಥಾನಮಾನಕ್ಕೆ,ಸ್ಥಾನಮಾನಕ್ಕೆ,1,12
ಭಲಿಸುವುದಾದರೆ,ಭಲಿಸುವುದಾದರೆ,1,12
ಹುಡುಗನಿದ್ದನು,ಹುಡುಗನಿದ್ದನು,1,12
ತಿನ್ನುತ್ತಿದೆ,ತಿನ್ನುತ್ತಿದೆ,5,12
ಹಿಂತಿರುಗಿದನು,ಹಿಂತಿರುಗಿದನು,1,12
ಹರಡಿಕೊಂಡಿರುವ,ಹರಡಿಕೊಂಡಿರುವ,1,12
ಕೂಗುತ್ತಿತ್ತು,ಕೂಗುತ್ತಿತ್ತು,3,12
ಪ್ರಶ್ನಿಸಿದನು,ಪ್ರಶ್ನಿಸಿದನು,2,12
ಶಕ್ತಿಯಿಲ್ಲದೆ,ಶಕ್ತಿಯಿಲ್ಲದೆ,2,12
ಪ್ರಶ್ನಿಸಿದಳು,ಪ್ರಶ್ನಿಸಿದಳು,10,12
ಬಣ್ಣಗೆಟ್ಟಿತು,ಬಣ್ಣಗೆಟ್ಟಿತು,1,12
ಉಂಟಾಗುತ್ತಿದೆ,ಉಂಟಾಗುತ್ತಿದೆ,1,12
ಹಿಂದಿರುಗಿದರು,ಹಿಂದಿರುಗಿದರು,4,12
ಚಿಗುರೊಡೆಯಿತು,ಚಿಗುರೊಡೆಯಿತು,1,12
ಕುಪ್ಪಳಿಸಿದರು,ಕುಪ್ಪಳಿಸಿದರು,1,12
ಸುಮ್ಮನಿರತೇನಿ,ಸುಮ್ಮನಿರತೇನಿ,1,12
ಮೂಡುತ್ತದೆಇದು,ಮೂಡುತ್ತದೆಇದು,1,12
ಬರೂದಿಲ್ಲವ್ವಾ,ಬರೂದಿಲ್ಲವ್ವಾ,1,12
ಎತ್ತಿಗೊಳ್ಳಲಾ,ಎತ್ತಿಗೊಳ್ಳಲಾ,1,12
ಬೆಟ್ಟಾಗುಡ್ಡಾ,ಬೆಟ್ಟಾಗುಡ್ಡಾ,1,12
ದೊಡ್ಡವರುಅವರು,ದೊಡ್ಡವರುಅವರು,1,12
ಕಾಣುವೆಕಾಣುವೆ,ಕಾಣುವೆಕಾಣುವೆ,1,12
ವಿದ್ಯಾಭ್ಯಾಸದ,ವಿದ್ಯಾಭ್ಯಾಸದ,3,12
ಅಧ್ಯಾಪಕರನ್ನು,ಅಧ್ಯಾಪಕರನ್ನು,2,12
ಅಧ್ಯಾಪಕನೊಬ್ಬ,ಅಧ್ಯಾಪಕನೊಬ್ಬ,1,12
ಹೊತ್ತಿನವರೆಗೆ,ಹೊತ್ತಿನವರೆಗೆ,1,12
ರಾಜಕುಮಾರರಿಗೆ,ರಾಜಕುಮಾರರಿಗೆ,1,12
ಸಮಸ್ಯೆಗಳನ್ನೂ,ಸಮಸ್ಯೆಗಳನ್ನೂ,2,12
ಪರಿಹಾರಗಳನ್ನೂ,ಪರಿಹಾರಗಳನ್ನೂ,1,12
ಪ್ರತಿಯೊಬ್ಬನೂ,ಪ್ರತಿಯೊಬ್ಬನೂ,1,12
ಆತ್ಮರಕ್ಷಣೆಗೆ,ಆತ್ಮರಕ್ಷಣೆಗೆ,1,12
ಪ್ರವೇಶಿಸಬೇಕು,ಪ್ರವೇಶಿಸಬೇಕು,1,12
ಮುದ್ದಾಡಿದವಳು,ಮುದ್ದಾಡಿದವಳು,1,12
ಚಿಕಿತ್ಸೆಯೇನೋ,ಚಿಕಿತ್ಸೆಯೇನೋ,1,12
ಗಿಟಾರೊಂದನ್ನು,ಗಿಟಾರೊಂದನ್ನು,1,12
ಮುಟ್ಟಿರಲಿಲ್ಲ,ಮುಟ್ಟಿರಲಿಲ್ಲ,1,12
ಹಾಡುವುದರಲ್ಲಿ,ಹಾಡುವುದರಲ್ಲಿ,1,12
ಹೆಚ್ಚಿಸಿತ್ತು,ಹೆಚ್ಚಿಸಿತ್ತು,1,12
ಎದೆಗುಂದಬಾರದು,ಎದೆಗುಂದಬಾರದು,1,12
ಚಿಕಿತ್ಸೆಗಾಗಿ,ಚಿಕಿತ್ಸೆಗಾಗಿ,2,12
ಒಂದುಗೂಡುವುದು,ಒಂದುಗೂಡುವುದು,1,12
ತಿಂಗಳಿಗೊಮ್ಮೆ,ತಿಂಗಳಿಗೊಮ್ಮೆ,1,12
ಪರೀಕ್ಷೆಯಲ್ಲೂ,ಪರೀಕ್ಷೆಯಲ್ಲೂ,1,12
ಹಿಮ್ಮೆಟ್ಟಿಸಿ,ಹಿಮ್ಮೆಟ್ಟಿಸಿ,1,12
ಬಯೋಗ್ರಾಫಿಕಲ್,ಬಯೋಗ್ರಾಫಿಕಲ್,2,12
